,0
0,37
1,60
2,52
3,48
4,55
5,35
6,47
7,67
8,51
9,35
10,50
11,47
12,52
13,55
14,54
15,51
16,43
17,34
18,43
19,46
20,28
21,34
22,39
23,52
24,56
25,54
26,49
27,58
28,56
29,35
30,61
31,57
32,59
33,53
34,64
35,51
36,55
37,49
38,46
39,71
40,37
41,54
42,50
43,52
44,56
45,42
46,46
47,51
48,53
49,38
50,64
51,61
52,46
53,58
54,42
55,61
56,53
57,57
58,21
59,52
60,54
61,42
62,67
63,52
64,26
65,60
66,56
67,53
68,48
69,34
70,63
71,50
72,56
73,42
74,47
75,49
76,45
77,63
78,47
79,47
80,64
81,60
82,39
83,51
84,55
85,55
86,55
87,59
88,59
89,54
90,56
91,56
92,50
93,36
94,59
95,54
96,74
97,67
98,53
99,38
100,53
101,48
102,41
103,39
104,48
105,59
106,45
107,54
108,47
109,68
110,59
111,60
112,45
113,60
114,65
115,58
116,42
117,48
118,46
119,48
120,67
121,67
122,55
123,43
124,67
125,30
126,45
127,43
128,52
129,56
130,40
131,53
132,58
133,44
134,58
135,45
136,37
137,64
138,28
139,55
140,45
141,57
142,55
143,70
144,55
145,46
146,61
147,43
148,45
149,47
150,30
151,49
152,49
153,46
154,54
155,45
156,46
157,62
158,53
159,44
160,52
161,54
162,55
163,49
164,43
165,49
166,54
167,40
168,40
169,60
170,49
171,39
172,39
173,63
174,59
175,45
176,50
177,54
178,40
179,43
180,43
181,57
182,56
183,32
184,37
185,52
186,42
187,60
188,57
189,47
190,44
191,57
192,47
193,60
194,55
195,46
196,50
197,38
198,61
199,47
200,27
201,54
202,60
203,36
204,65
205,53
206,56
207,39
208,38
209,58
210,44
211,67
212,50
213,63
214,42
215,53
216,33
217,57
218,34
219,59
220,33
221,46
222,43
223,54
224,53
225,51
226,49
227,55
228,67
229,45
230,54
231,62
232,58
233,49
234,52
235,62
236,60
237,58
238,45
239,55
240,39
241,63
242,65
243,42
244,71
245,53
246,63
247,38
248,40
249,43
250,58
251,48
252,42
253,43
254,61
255,41
256,23
257,55
258,55
259,40
260,43
261,75
262,50
263,53
264,68
265,56
266,33
267,62
268,63
269,47
270,49
271,42
272,44
273,56
274,41
275,40
276,41
277,55
278,27
279,53
280,33
281,53
282,43
283,60
284,45
285,52
286,52
287,39
288,40
289,44
290,61
291,48
292,49
293,52
294,44
295,58
296,49
297,36
298,41
299,32
